Geography,Date,Weekly Deaths,Death Data As Of
United States,Mar  6 2021,6731,Oct  5 2023
United States,Feb 27 2021,8654,Oct  5 2023
United States,Feb 20 2021,10807,Oct  5 2023
United States,Feb 13 2021,13519,Oct  5 2023
United States,Feb  6 2021,17034,Oct  5 2023
United States,Jan 30 2021,20322,Oct  5 2023
United States,Jan 23 2021,23687,Oct  5 2023
United States,Jan 16 2021,25692,Oct  5 2023
United States,Jan  9 2021,25974,Oct  5 2023
United States,Jan  2 2021,24845,Oct  5 2023
United States,Dec 26 2020,23364,Oct  5 2023
United States,Dec 19 2020,22314,Oct  5 2023
United States,Dec 12 2020,20913,Oct  5 2023
United States,Dec  5 2020,18545,Oct  5 2023
United States,Nov 28 2020,15615,Oct  5 2023
United States,Nov 21 2020,13343,Oct  5 2023
United States,Nov 14 2020,10644,Oct  5 2023
United States,Nov  7 2020,8754,Oct  5 2023
United States,Oct 31 2020,7019,Oct  5 2023
United States,Oct 24 2020,5990,Oct  5 2023
United States,Oct 17 2020,5195,Oct  5 2023
United States,Oct 10 2020,4813,Oct  5 2023
United States,Oct  3 2020,4240,Oct  5 2023
United States,Sep 26 2020,4296,Oct  5 2023
United States,Sep 19 2020,4273,Oct  5 2023
United States,Sep 12 2020,4618,Oct  5 2023
United States,Sep  5 2020,5010,Oct  5 2023
United States,Aug 29 2020,5739,Oct  5 2023
United States,Aug 22 2020,6374,Oct  5 2023
United States,Aug 15 2020,7248,Oct  5 2023
United States,Aug  8 2020,7848,Oct  5 2023
United States,Aug  1 2020,8285,Oct  5 2023
United States,Jul 25 2020,8229,Oct  5 2023
United States,Jul 18 2020,7166,Oct  5 2023
United States,Jul 11 2020,5770,Oct  5 2023
United States,Jul  4 2020,4540,Oct  5 2023
United States,Jun 27 2020,3835,Oct  5 2023
United States,Jun 20 2020,3844,Oct  5 2023
United States,Jun 13 2020,4227,Oct  5 2023
United States,Jun  6 2020,5046,Oct  5 2023
United States,May 30 2020,6160,Oct  5 2023
United States,May 23 2020,7229,Oct  5 2023
United States,May 16 2020,9229,Oct  5 2023
United States,May  9 2020,11223,Oct  5 2023
United States,May  2 2020,13200,Oct  5 2023
United States,Apr 25 2020,15525,Oct  5 2023
United States,Apr 18 2020,17201,Oct  5 2023
United States,Apr 11 2020,16306,Oct  5 2023
United States,Apr  4 2020,10113,Oct  5 2023
United States,Mar 28 2020,3211,Oct  5 2023
United States,Mar 21 2020,586,Oct  5 2023
United States,Mar 14 2020,60,Oct  5 2023
United States,Mar  7 2020,38,Oct  5 2023
United States,Feb 29 2020,9,Oct  5 2023
United States,Feb 22 2020,6,Oct  5 2023
United States,Feb 15 2020,6,Oct  5 2023
United States,Feb  8 2020,4,Oct  5 2023
United States,Feb  1 2020,0,Oct  5 2023
United States,Jan 25 2020,3,Oct  5 2023
United States,Jan 18 2020,2,Oct  5 2023
United States,Jan 11 2020,1,Oct  5 2023
